NPC/Room/Magazine/Ch123,"Тут є інформація про виставку
і про нью-йоркську галерею."
NPC/Room/Memo/Ch123,"Записую в блокнот думки й нотатки з подорожей.
Кожна дрібна ідея для мене цінна."
NPC/Room/Novel/Ch123,"Роман, який я перечитую щовечора перед сном.
Потім знову візьмуся за нього."
NPC/Room/OutsideDoor/Ch123,"Не вийду з дому, доки
не закінчу роботу для виставки."
NPC/Room/PaintBox/Ch13,Дещо з мого малярського приладдя.
NPC/Room/PictureDad/Ch123,Після розлучення тато виглядає молодшим.
NPC/Room/PictureFamily/Ch123,"Фото з мамою. Без її підтримки
я б не наважилася йти за мрією."
NPC/Room/PictureMom/Ch123,"Після розлучення мама побудувала кар’єру.
Вона сильна й незалежна жінка."
NPC/Room/Sketch/Ch123,"Альбом, яким я часто користуюся.
Тут багато моїх навчальних начерків."
NPC/Room/Sketches01/Ch123,"Усі начерки, зроблені з самого дитинства.
Вони показують мій життєвий шлях."
NPC/Room/Sketches02/Ch123,"Кілька навчальних чернеток. Кожен маленький крок
наближає мене до мрії."
NPC/Room/Sofa/Ch123,"Диван, на якому я зазвичай читаю,
і всяка всячина навколо."
NPC/Room/ToDoList/Ch123,"Справи: 1. Музика 2. Сніданок 3. Резюме
4. Кава, а тоді малювати далі!"
NPC/Room/Window/Ch1/start,"Який гарний день. Ідеальний ранок,
щоб дати волю натхненню!"
Puzzle/Painting/Neighbor_Yellow/After,Зроблю перерву й займуся чимось іншим.
Hint/Puzzle/Routine/Day_Kitchen_Ch1,"У животі бурчить.
Час приготувати сніданок!"
Hint/Puzzle/Routine/Day_Computer_Ch1,"Дедлайн наближається! Треба
мерщій дописати резюме й портфоліо!"
Hint/Puzzle/Routine/Day_Coffee_Ch1,Без ранкової кави я завжди мов сонна муха.
Puzzle/Scene/JackScene01/Click/Cat,"Кішка дрімає, зручно вмостившись."
Puzzle/Scene/JackScene01/Click/HillPainting,"Яка розкішна картина!
Здається, я її десь бачила..."
Puzzle/Scene/JackScene01/Click/Jack,"Здається, цей старий, який постійно
малює, зовсім мене не помічає."
Puzzle/Scene/JackScene01/Duplicated/Cat,"Це я вже замалювала.
Спробую деінде."
Puzzle/Scene/JackScene01/Duplicated/HillPainting,"Це я вже замалювала.
Спробую деінде."
Puzzle/Scene/JackScene01/Duplicated/Jack,"Це я вже замалювала.
Спробую деінде."
Puzzle/Scene/JackScene01/Start/1,"Старий щоразу мене не помічає...
Але малює він справді чудово."
Puzzle/Scene/JackScene01/Start/2,Зроблю кілька начерків.
Puzzle/Repair/Common/Correct/1,Тепер вона цілісніша!
Puzzle/Repair/Common/Correct/2,"Так, саме те місце!"
Puzzle/Repair/Common/Correct/3,Гарно виходить!
Puzzle/Repair/Common/Incorrect/1,"Щось не те... Може,
десь є підказка?"
Puzzle/Repair/Common/Incorrect/2,"Ні, не тут... Мабуть,
треба ще подумати..."
Puzzle/Repair/Common/Incorrect/3,"Не те місце...
Виглядає якось дивно..."
Puzzle/Repair/Common/MinorIncorrect/1,"Загалом наче правильно, але
мене не полишає дивне відчуття..."
Puzzle/Repair/Common/MinorIncorrect/2,"Майже вийшло!
Трохи підправлю..."
Puzzle/Repair/Common/MinorIncorrect/3,Зовсім близько!
Puzzle/Repair/Common/PartialIncorrect/1,"Місце наче правильне. Але
доведеться дещо підправити..."
Puzzle/Repair/Common/PartialIncorrect/2,"Чомусь усе одно не зовсім те...
Треба трохи підправити!"
Puzzle/Repair/Common/PartialIncorrect/3,Ще потребує доопрацювання.
Puzzle/Repair/Common/Return,"Натхнення вичерпується.
Повернуся до цього пізніше."
Puzzle/Repair/HillPainting/After,"Звідки в мене ця картина?
Ніяк не пригадаю..."
Puzzle/Repair/HillPainting/FinalStep,Щось за картиною щойно відчинилося...
Puzzle/Repair/HillPainting/Start,"Знайшла! Ось та схожа
картина! Але... чим вони різняться?"
Hint/Puzzle/Scene/JackScene01,"Час до роботи! Приємно
пити каву, поки малюєш."
Cinema/Greet,"Доброго ранку!
Як справи?"
Puzzle/Notebook/SunFlowerJigsaw/End,Цей візерунок я вже десь бачила в кімнаті...
Puzzle/Notebook/SunFlowerJigsaw/Start,"Схоже, фрагменти можна скласти докупи?"
Item/JackScene01_Cat/Desc,"У нього є кішка! Яка ж вона гарна!
Може, і мені завести?"
Item/JackScene01_HillPainting/Desc,"Ця картина така схожа на ту, що в моїй
кімнаті... Тільки вона виглядає завершенішою."
Item/JackScene01_Jack/Desc,"Здається, цей старий, який постійно
малює, зовсім мене не помічає."
NPC/Room/Coffee/Ch1/After,"Готово. Вип’ю потім, коли малюватиму."
NPC/Room/Computer/Ch1/After,"Резюме готове наполовину.
Час зайнятися іншими справами."
NPC/Room/Kitchen/Ch1/After,"Я поснідала. Тепер варто
зайнятися чимось іншим."
NPC/Room/Radio/Ch1/After,Ця пісня додає мені сил зранку!
Puzzle/Lock/SunFlowerLock/FinalStep,"Відкрилася! Коли ж
я її сюди поклала?"
Puzzle/Lock/SunFlowerLock/Start,"Візерунки такі самі, як на малюнку!
Чи є між ними зв’язок?"
Item/JackLetter_1/Desc,"За картиною записка з підписом «J»...
Хто такий J? Не пригадую..."
Item/JackLetter_1/Title,Записка із соняшником від J
Item/SunFlower_Chip/Desc,"Форми на фрагментах здаються знайомими...
Складу їх разом і подивлюся!"
NPC/Room/Coffee/Ch123/AfterDrink,"Машина, якою я зазвичай варю каву."
NPC/Room/Window/Ch1/afterJackScene01,"Старий завжди так зосереджений
на своїй картині. Я йому не поступлюся!"
Item/SunFlowerPainting/Desc,"Якщо скласти фрагменти разом, видно соняшники.
Я їх десь бачила?"
Item/SunFlowerPainting/Title,Малюнок соняшників
Puzzle/Painting/Neighbor_Green/After,"Мене щось непокоїть...
Повернуся до цього пізніше."
Puzzle/Painting/Neighbor_Green/Correct/1,Ось так! Не зупиняйся!
Puzzle/Painting/Neighbor_Green/Correct/2,Обожнюю життєву силу зеленого!
Puzzle/Painting/Neighbor_Green/Correct/3,На крок ближче до виставки!
Puzzle/Painting/Neighbor_Green/Duplicated/1,"Цю частину я вже зробила...
Зосередься й не зіпсуй!"
Puzzle/Painting/Neighbor_Green/Duplicated/2,Ця частина готова. Обережніше!
Puzzle/Painting/Neighbor_Green/Duplicated/3,"Мало не зафарбувала
готову частину. Впораюся!"
Puzzle/Painting/Neighbor_Green/IncorrectColor/1,"Цей колір якийсь
не такий! Треба зосередитися..."
Puzzle/Painting/Neighbor_Green/IncorrectColor/2,"Колір наче недоречний...
Спробую ще раз!"
Puzzle/Painting/Neighbor_Green/IncorrectColor/3,"Схоже, колір не той.
Варто ще раз перевірити."
Puzzle/Painting/Neighbor_Green/Start,"Час викластися повністю! Хочу
колись малювати не гірше за нього."
Hint/Item/Pigment_Green,Знайшла фарбу! Час повертатися до роботи.
Item/Pigment_Green/Desc,"Улюблений колір природи. Він
символізує відродження всього живого."
Item/Pigment_Green/Title,Зелена фарба
NPC/Room/SunFlowerLock/Ch1/After,"Знайшла зелену фарбу,
але навіщо я лишила її тут?"
Hint/NPC/Room/Canvas,"Старий завжди так зосереджений
на своїй картині. Я йому не поступлюся!"
NPC/Room/Window/Ch1/afterPigment,"Час викластися повністю! Хочу
колись малювати не гірше за нього."
Hint/SunflowerMemory/VoiceOver/1,"Мружачись від пообіднього сонця, він
раптом помічає ту дівчину через дорогу."
Hint/SunflowerMemory/VoiceOver/2,"У раптовому пориві натхнення він
з новими силами береться за пензель."
NPC/SunflowerMemory/Cat,"Руда з білим кішка потягується.
Час неначе завмер у цю мить."
NPC/SunflowerMemory/HillPainting,"Його мазки вкривають відкрите поле
ледь помітним жовтогарячим світлом."
NPC/SunflowerMemory/SunflowerCopy/Empty,"Чистий аркуш паперу, якому ще належить
набути барв почуттів і спогадів."
NPC/SunflowerMemory/SunflowerCopy/Exit,Яка історія стоїть за кожною картиною?
NPC/SunflowerMemory/SunflowerPainting,"На полотні дівчини розквітають соняшники,
тягнучись за живлющим сонцем."
NPC/SunflowerMemory/WallPainting,"На стіні висить багато краєвидів
і одна картина, яку, здається, чимось накрито."
Puzzle/Lock/MissingCatLock/Before,Чи має візерунок на скриньці якесь значення?
Hint/Puzzle/Routine/Day_RadioA_Ch2,"Схоже, хтось уліз у фарбу...
О ні! У кімнаті справжній безлад!"
Puzzle/Routine/Day_Coffee_Ch2/End,Кава готова. Вип’ю пізніше.
Puzzle/Routine/Day_Coffee_Ch2/MessyEnd,"Фух... усе на своїх місцях.
Зварю собі чашку кави."
Puzzle/Routine/Day_Coffee_Ch2/MessyLock,"Є ще місця, які треба прибрати."
Puzzle/Routine/Day_Coffee_Ch2/Start,"Оце так безлад...
Доведеться прибирати."
Puzzle/Routine/Day_Computer_Ch2/FinalStep,"Здається, минулого разу я спинилася тут.
Решту допишу завтра!"
Puzzle/Routine/Day_Computer_Ch2/MessyEnd,"Вчорашня чернетка зникла й не
відновлюється. Доведеться писати заново."
Puzzle/Routine/Day_Computer_Ch2/MessyLock,"Є ще місця, які треба прибрати."
Puzzle/Routine/Day_Computer_Ch2/Start,"Тут теж безлад. Добре, що склянка
була порожня, інакше ноутбуку кінець."
Puzzle/Routine/Day_Kitchen_Ch2/End,"Стривай... Що це за тінь
щойно промайнула?"
Puzzle/Routine/Day_Kitchen_Ch2/MessyEnd,Хм... Я трохи зголодніла.
Puzzle/Routine/Day_Kitchen_Ch2/MessyLock,"Є ще місця, які треба прибрати."
Puzzle/Routine/Day_Kitchen_Ch2/Start,"Тут теж безлад. Спершу приберу,
а тоді шукатиму винуватця!"
Puzzle/Routine/Day_RadioA_Ch2/End,Фух! Він досі працює!
Puzzle/Routine/Day_RadioA_Ch2/MessyEnd,"Увімкну музику, щоб перевірити, чи він працює."
Puzzle/Routine/Day_RadioA_Ch2/Start,"Касетний програвач перекинуто.
Поставлю його на місце."
Item/MissingCat_Chip/Desc/1,Звідки тут цей клаптик паперу?
NPC/Room/Calendar/Ch2,"Я забула відірвати аркуш.
Досі 23 січня."
NPC/Room/Coffee/Ch2/After,"Усе повернула на місце.
Добре, що кавник не розбився..."
NPC/Room/Coffee/Ch2/Before,"У кімнаті жовті сліди лап.
Хтось, певно, вліз у фарбу."
NPC/Room/Computer/Ch2/After,"Чернетку видалено. Добре, що
я пам’ятаю, що набирала вчора."
NPC/Room/Computer/Ch2/Before,"У кімнаті сліди лап.
Невже це кішка...?"
NPC/Room/Kitchen/Ch2/After,"Витратила час на прибирання.
Мабуть, згодом зроблю сендвіч."
NPC/Room/Kitchen/Ch2/Before,У кімнаті безлад. Спершу приберу!
NPC/Room/PaintBox/Ch2,Ось звідки починаються жовті сліди.
NPC/Room/Radio/Ch2/After,Мені подобається ця весела пісня!
NPC/Room/SunFlowerLock/Ch23,"Знайшла зелену фарбу в цій
скриньці. Невже я сама її поклала?"
NPC/Room/Window/Ch2/start,"Спершу знайду того, хто влаштував
безлад, а тоді вже малюватиму!"
Puzzle/Scene/JackScene02/Click/JackAndCat,"То це кішка влаштувала безлад
у моїй кімнаті! Добре, що ціла."
Puzzle/Scene/JackScene02/Click/Painting,Старий намалював ще одну нову картину!
Puzzle/Scene/JackScene02/Start,"Кішка стрибнула без попередження.
У мене аж серце тьохнуло..."
Item/MissingCat_Chip/Desc/2,А ось іще один!
Item/MissingCat_Chip/Desc/3,"Третій, але цього все одно замало."
Puzzle/Notebook/MissingCatJigsaw/End,"Здається, цей малюнок я теж
десь бачила у своїй кімнаті."
Puzzle/Notebook/MissingCatJigsaw/Start,Спробую скласти фрагменти разом.
Puzzle/Notebook/MissingCatJigsaw/Undone,"Не розберу, що це. Схоже,
бракує ще одного чи кількох фрагментів."
Item/MissingCat_Chip/Desc/4,"Усі фрагменти знайшлися там, де
проходила кішка. Невже це вона їх принесла?"
Puzzle/Lock/MissingCatLock/FinalStep,Відкрилася!
Puzzle/Lock/MissingCatLock/Start,"Кольори й композиція схожі
на щойно складений малюнок."
Item/JackScene02_JackAndCat/Desc,"Кішка, яка влаштувала безлад у моїй кімнаті,
тепер сидить на руках у старого."
Puzzle/Painting/Neighbor_Red/After,"Спершу треба дещо
перевірити. Малюватиму потім."
Puzzle/Painting/Neighbor_Red/Correct/1,Саме те місце!
Puzzle/Painting/Neighbor_Red/Correct/2,Червоний додає роботі життя!
Puzzle/Painting/Neighbor_Red/Correct/3,Більше половини картини готово. Уже близько!
Puzzle/Painting/Neighbor_Red/Start,Додам новий колір і створю шедевр!
Item/MissingCat_Chip/Desc/5,Спробую скласти фрагменти разом.
Item/MissingCatPainting/Desc,"Здається, я вже бачила цей малюнок
десь у своїй кімнаті."
Item/MissingCatPainting/Title,Малюнок кішки на вулиці
NPC/Room/Window/Ch2/afterJackScene02,"Вони й справді дуже близькі.
Хотіла б я знати його ближче."
Hint/Item/Pigment_Red,"Тепер, коли є новий колір,
час повертатися до малювання!"
Item/JackLetter_2/Desc,"Ще одна записка від J,
але цього разу з малюнком кішки."
Item/JackLetter_2/Title,Записка з кішкою від J
Item/Pigment_Red/Desc,"Її яскраві, палахкі відтінки
передають наші власні палкі почуття."
Item/Pigment_Red/Title,Червона фарба
NPC/Room/MissingCatLock/Ch2/After,"Цього разу знайшла червону фарбу. Невже це я
її сюди поклала? Щось не пригадую..."
NPC/Room/Window/Ch2/afterPigment,"Вони й справді дуже близькі.
Хотіла б я знати його ближче."
Hint/MissingCatMemory/VoiceOver/1,"Червоні стіни обабіч провулка
рясніють оголошеннями про зниклу кішку."
Hint/MissingCatMemory/VoiceOver/2,Він саме збирається повісити на стіну ще одне оголошення.
NPC/MissingCatMemory/Amber,"Дівчина всміхається, дивлячись, як знайдена нею
загублена кішка біжить назад до господаря."
NPC/MissingCatMemory/Apartment,"Збоку стояли два будинки: один із
жовтим дахом, другий із червоним."
NPC/MissingCatMemory/Cat,"Кішка качається по землі, просячись, щоб її погладили.
Вона не помічає стурбованого обличчя господаря."
NPC/MissingCatMemory/Flyer,Стіни обклеєні оголошеннями про зниклу кішку.
NPC/MissingCatMemory/Jack,"Він зупиняється й дивиться на руду
пляму, що біжить до нього."
NPC/MissingCatMemory/Painting/Empty,"Чистий аркуш паперу, якому ще належить
набути барв почуттів і спогадів."
NPC/MissingCatMemory/Painting/Exit,"Ось де вони зустрілися...
Цікаво, що було далі..."
Puzzle/Routine/Day_Coffee_Ch3/End,"Обожнюю запах кави й дощу!
Він відволікає від тривог."
Puzzle/Routine/Day_Coffee_Ch3/Start,"Спершу зварю собі чашку кави.
Зараз не хочеться про це думати."
Puzzle/Routine/Day_Computer_Ch3/FinalStep,"Файли кількаденної давнини теж
зникли без причини. Чому так?"
Puzzle/Routine/Day_Computer_Ch3/Start,"Увімкнула ноутбук, як завжди,
а файли знову зникли..."
Puzzle/Routine/Day_Kitchen_Ch3/End,"Сніданок — мій ранковий ритуал, що нагадує:
починається новий день."
Puzzle/Routine/Day_Kitchen_Ch3/Start,А тепер час підкріпитися.
Puzzle/Routine/Day_RadioA_Ch3/End,"Люблю, як ритм дощових крапель
підігрує музиці."
Puzzle/Routine/Day_RadioA_Ch3/Start,"Треба музики, щоб додати барв
цій імлистій дощовій погоді."
Puzzle/Scene/JackScene03/Click/Jack,Невже старий... захворів?
Puzzle/Scene/JackScene03/Click/Umbrella,"Та картина, на яку він дивиться...
Здається, я її десь бачила..."
Puzzle/Scene/JackScene03/Duplicated/Jack,"Цю ділянку я вже замалювала.
Спробую іншу."
Puzzle/Scene/JackScene03/Duplicated/Umbrella,"Цю ділянку я вже замалювала.
Спробую іншу."
Puzzle/Scene/JackScene03/Start,"Це перший дощ, відколи
я сюди переїхала..."
Puzzle/Repair/UmbrellaOilPainting/After,"Червона і жовта парасольки
виділяються на тлі присмеркового дощового міста."
Puzzle/Repair/UmbrellaOilPainting/FinalStep,"Вони йдуть у різні боки під парасольками
різних кольорів. Чи помічають одне одного?"
Puzzle/Repair/UmbrellaOilPainting/Start,"Це та картина, на яку дивився старий!
Яка ж її частина не завершена?"
Puzzle/Repair/GroceryStorePaintingA/After,"Вивіску я додала, але чогось
усе одно бракує..."
Puzzle/Repair/GroceryStorePaintingA/FinalStep,"Величезна зелена вивіска вирізняється на тьмяній вулиці,
а під нею ховається чоловік із жовтою парасолькою."
Puzzle/Repair/GroceryStorePaintingA/Start,"Який же зв’язок між картиною старого
і малюнком, схованим у шухляді?"
Item/JackScene03_Jack/Desc,"Старий, здається, почувається
не дуже добре. Сподіваюся, з ним усе гаразд..."
Item/JackScene03_Umbrella/Desc,"Ця картина майже така сама, як та,
що в моїй кімнаті! Чим вони різняться?"
Puzzle/Repair/StreetPainting/After,"Вони йдуть мокрою від дощу вулицею, досі з парасольками
в руках, не помічаючи, що вже випогодилося."
Puzzle/Repair/StreetPainting/FinalStep,"Схоже, їм добре разом! Чи помітили вони,
що дощ ущух, коли визирнуло сонце?"
Puzzle/Repair/StreetPainting/Start,"Цей малюнок теж про дощове
місто. Чи пов’язаний він із попередніми?"
Item/Sketch_GroceryStore_Cup/Desc,"Ескіз змінився! На вивісці
з’явилися червона та жовта чашки..."
Item/Sketch_GroceryStore_Cup/Title,Малюнок жовтої та червоної чашок
NPC/Room/Calendar/Ch345,"Я ж пам’ятаю, що відірвала аркуш,
чому тоді досі 23 січня?"
NPC/Room/Coffee/Ch3/After,Цей чудовий запах ніколи мені не набридне!
NPC/Room/Computer/Ch3/After,"Сподіваюся, цього разу файл збережеться!"
NPC/Room/Kitchen/Ch3/After,Сили відновлено! Час до роботи!
NPC/Room/MissingCatLock/Ch3,"Знайшла червону фарбу в цій
скриньці. Як вона сюди потрапила?"
NPC/Room/Radio/Ch3/After,Шум дощу так добре пасує до цієї пісні.
NPC/Room/Window/Ch3/start,"Дощу не було вже давно. Коли я востаннє
виходила з парасолькою?"
Item/Sketch_Collecting/Desc/Single,"Схоже, малюнок, знайдений у шухляді
за картиною, має особливе значення."
Item/Sketch_Street/Desc,"Сонце і парасольки... Мені завжди здається, що
композиція схожа на картину в моїй кімнаті..."
Item/Sketch_Street/Title,Малюнок вулиці
Puzzle/Notebook/FamiliarPaintingSort/End,Так! Саме такий порядок!
Puzzle/Notebook/FamiliarPaintingSort/Start,Що пов’язує ці три малюнки?
Item/JackLetter_3/Desc,"Ще одна записка з підписом «J». Схоже,
вона адресована якійсь Ембер."
Item/JackLetter_3/Title,Записка з парасолькою від J
Item/Sketch_Collecting/Desc/Multiple,"Схоже, малюнки, знайдені в шухлядах
за картинами, мають особливе значення."
Item/Sketch_GroceryStore_Sign/Desc,"Жовта парасолька і зелена вивіска...
Ще один підозріло знайомий малюнок..."
Item/Sketch_GroceryStore_Sign/Title,Малюнок крамниці
Item/Sketch_Umbrella_After/Desc,"Цей малюнок майже не відрізняється
від картини старого. Цікаво, чому..."
Item/Sketch_Umbrella_After/Title,Малюнок дощового дня
Puzzle/Repair/GroceryStorePaintingB/After,"На картині ці двоє
зустрілися під вивіскою."
Puzzle/Repair/GroceryStorePaintingB/FinalStep,"Цікаво, чи стоять за цими
трьома картинами якісь історії?"
Puzzle/Repair/GroceryStorePaintingB/Start,Невже на вивісці чогось бракує...?
Hint/Item/Pigment_Blue,"Чому останнім часом я знаходжу малюнки
й фарби в таких дивних місцях?"
Item/Pigment_Blue/Desc,"Це спокійний колір, але часом меланхолійний."
Item/Pigment_Blue/Title,Синя фарба
Puzzle/Scene/JackScene04/Start,"Який зв’язок між старим
і чоловіком на картині?"
Puzzle/Scene/JackScene04/Think/Amber,"Невже ця жінка в білому... Ембер?
Що з нею було потім?"
Puzzle/Scene/JackScene04/Think/Jack,Старий... і записки з підписом «J»...?
NPC/Room/Window/Ch3/afterPigment,"Дощу не було вже давно. Коли я востаннє
виходила з парасолькою?"
Puzzle/Painting/Neighbor_Blue/Correct/1,Ще трохи — і робота готова до подачі!
Puzzle/Painting/Neighbor_Blue/Correct/2,Від цього кольору мимоволі стає трохи сумно.
Puzzle/Painting/Neighbor_Blue/Correct/3,Майже готово! Але чому мені так не хочеться працювати?
Puzzle/Painting/Neighbor_Blue/FinalStep,Готово! Але ще треба дещо підправити...
Puzzle/Painting/Neighbor_Blue/Start,Сьогодні заспокою думки й зосереджуся на мистецтві!
Item/JackScene04_Amber/Desc,"Ембер, жінка, яка завжди
вдягнена в біле. Хто вона?"
Item/JackScene04_Jack/Desc,"Невже J — це чоловік із картин? Який
зв’язок між ним і старим?"
Hint/FamiliarMemory/VoiceOver/1,"Безкінечний шурхіт дощу по
вулиці складається в пісню без слів."
Hint/FamiliarMemory/VoiceOver/2,Разом із дощем розквітають парасольки.
NPC/FamiliarMemory/Amber,"Боячись намочити свою картину,
вона шукає, де сховатися від дощу."
NPC/FamiliarMemory/Chat,"Вони говорили далі, навіть коли визирнуло сонце."
NPC/FamiliarMemory/JackA,"Раптовий дощ порушив його плани, і він починає
шукати місце, де можна перечекати."
NPC/FamiliarMemory/JackB,"Кинувшись під ту саму вивіску,
вони випадково зустрічаються."
NPC/FamiliarMemory/Painting/Empty,"Полотно у вітрині крамниці
затуманилося."
NPC/FamiliarMemory/Painting/Exit,Що станеться далі?
NPC/FamiliarMemory/Sign,"Вони переглядаються й усміхаються, а тоді
балакають про все на світі, поки чекають."
Puzzle/Preview/CoffeeStorePainting/Ch4,"Добре, що ця картина
постраждала не так сильно."
Puzzle/Preview/LavenderPainting/Ch4,"Фух... Добре, що з цією картиною все гаразд."
Puzzle/Preview/RyePainting/Ch4,"Яка радість, що цієї картини не зачепили!"
Puzzle/Repair/JackSign/Before,"Перевернута «J». Але чогось
наче бракує..."
Cinema/Wake,З тобою все гаразд?
Puzzle/Lock/GeometricLock/Before,"Головоломка з геометричних фігур.
Можливо, підказки є десь у кімнаті."
Puzzle/Lock/TurnOnLight/Door,Двері замкнені. Зсередини не відчинити.
Puzzle/Lock/TurnOnLight/Light,Світло ввімкнене. Тепер усе добре видно.
Puzzle/Lock/TurnOnLight/Shock,
Puzzle/Lock/TurnOnLight/Start,"Нічого не видно. Мабуть,
спершу варто ввімкнути світло."
Puzzle/Scene/JackScene05/Man,Агов! З вами все гаразд?
Puzzle/Scene/JackScene05/Shock,Що сталося?
Puzzle/Lock/StoreroomDoorLock/End,«ЕМБЕР»... Це ж її ім’я!
Puzzle/Lock/StoreroomDoorLock/Start,"Хіба тут раніше були двері?
На них намальована червона парасолька..."
Hint/AmberPicture_A/After,Що сталося з кімнатою?
Item/AmberPicture_B/Desc,"Фото, де я тримаю кішку J..."
Item/AmberPicture_C/Desc,"Частина полотна і мій
улюблений касетний програвач."
Item/AmberPicture/Title,Стара фотографія
Puzzle/Repair/UmbrellaAbstractPainting/After,"Дощ зблизив їх. Можливо,
вони хотіли б спинити ту мить назавжди?"
Puzzle/Repair/UmbrellaAbstractPainting/End,"Дощ зблизив їх. Можливо,
вони хотіли б спинити ту мить назавжди?"
Puzzle/Repair/UmbrellaAbstractPainting/Start,"Це картина під назвою
«Він, вона і вулиця»."
Hint/Storeroom/1,"Що це за місце?
Що це за картини?"
Item/AmberPicture/Desc,"На фото я, але
навіщо його зробили?"
NPC/Room/Bed/Ch4,Зараз не час спати...
NPC/Room/Cabinet/Ch45,"Це та шафа, що стояла біля стіни?
Чому вона перекинута?"
